timetweet,isitweet,favcount,retwcount,id,name
2022-05-30 09:46:32,"b'RT @ariefrasyad: Berhubung tiket Formula E gak laku2 yahh, jalan apapun ditempuh, sampe segitunya jualan tiket hehe https://t.co/qOdw0fSW79'",0,14,1531210443221397505,arief_rasyad
2022-05-30 09:46:30,b'RT @gembong_warsono: PDIP menilai atap tribun penonton Formula E roboh lantaran keinginan untuk terselenggaranya ajang balap mobil listrik\xe2\x80\xa6',0,23,1531210432715038720,M3juahjuah
2022-05-30 09:46:26,"b'RT @HeriSuwondo2: Dulu Keras Mengkritisi, Kini PDIP Ajak Masyarakat Dukung &amp; Sukseskan Formula E. Ini bagian dari strategi para politikus b\xe2\x80\xa6'",0,114,1531210416017199105,AmulaniAmulani1
2022-05-30 09:46:25,b'RT @gembong_warsono: PDIP menilai atap tribun penonton Formula E roboh lantaran keinginan untuk terselenggaranya ajang balap mobil listrik\xe2\x80\xa6',0,23,1531210410438692864,afif_lmg
2022-05-30 09:46:18,"b'RT @ariefrasyad: Buat yg mo nonton Formula E waspada ya gaes, kalo bisa siy bawa dan pake helm, helm proyek aja,  bukan mo nakut nakutin, k\xe2\x80\xa6'",0,7,1531210384870297600,arief_rasyad
2022-05-30 09:46:16,"b'RT @marlina_idha: Formula E , Pak Anies dan Indonesia \xf0\x9f\xa4\xad\xf0\x9f\x98\x8a https://t.co/AK0f5RxumW'",0,195,1531210372694216704,H3r2yP
2022-05-30 09:46:15,b'@Belok_dong  kira kira apa pendapat buzzerp balkot ini @marlina_idha tentang gugatan Formula E Holding https://t.co/7xlcfR6NCd',1,0,1531210371951865856,jayeng_zeno
2022-05-30 09:46:15,b'RT @Paltiwest: Lah terus Heineken cetak tiket sendiri?!\n\nCuma pendukung Anies aja yang bisa kalian begok2in..\n\nYang lain mah pada tahulah m\xe2\x80\xa6',0,99,1531210369535864832,LaingenLisa
2022-05-30 09:46:02,b'Mobil Formula E Pindah ke Sirkuit E-Prix Internasional Jakarta https://t.co/n2RGnIH16i https://t.co/Gtu9LLbMCD',0,0,1531210316276568064,news24_coid
2022-05-30 09:45:53,b'RT @MurtadhaOne1: Formula E di DKI ini memang bermasalah sejak awal\xf0\x9f\x99\x88 https://t.co/NBfVnuMOBK',0,67,1531210276929843201,RizkiR4madani
2022-05-30 09:45:51,b'RT @03__nakula: Perusahaan Tommy Winata jadi sponsor utama Formula E. \nTommy Winata salah satu Naga 9 yang selama ini dibenci pendukung Ani\xe2\x80\xa6',0,463,1531210270298624000,dhannykurniaw12
2022-05-30 09:45:49,b'@yusuf_dumdum jadi kesimpulannya dengan adanya ajang formula E negara dirugikan ya bang?',0,0,1531210261129883649,SandyTandano
2022-05-30 09:45:49,b'RT @Ayunin___: Jika pagelaran Formula E gagal itu akan menjadi track record buruk dalam karir politik pak Anies. Dan akan akan menyandang l\xe2\x80\xa6',0,1,1531210260308197377,FebyAuliaPutr11
2022-05-30 09:45:39,b'RT @aniesmania: Ibu-ibu jadi paham sama pentingnya event Formula E sebagai menurunkan emisi. Kendaraan berbasis listrik adalah masa depan.\xe2\x80\xa6',0,41,1531210218625187841,myidviri
